Name;Version;Company Name
Microsoft.SqlServer.SqlTDiagM.dll;13.0.1601.5 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.SqlWmiManagement.dll;12.0.2000.8 ((SQL14_RTM).140220-1832 );Microsoft Corporation
Microsoft.SqlServer.SqlWmiManagement.dll;13.0.1601.5 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.SString.dll;12.0.2000.8 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.SString.dll;13.0.1601.5 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.Types.dll;2014.0120.2000.08 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.Types.dll;2015.0130.1601.05 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2014.0120.2000.08 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2014.0120.2000.08 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2014.0120.2000.08 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2014.0120.2000.08 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2014.0120.2000.08 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2014.0120.2000.08 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2014.0120.2000.08 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2014.0120.2000.08 ((SQL14_RTM).140220-1752);Корпорация Майкрософт
Microsoft.SqlServer.Types.resources.dll;2014.0120.2000.08 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2014.0120.2000.08 ((SQL14_RTM).140220-1752);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2015.0130.1601.05 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2015.0130.1601.05 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2015.0130.1601.05 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2015.0130.1601.05 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2015.0130.1601.05 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2015.0130.1601.05 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2015.0130.1601.05 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2015.0130.1601.05 ((SQL16_RTM).160429-2226);Корпорация Майкрософт
Microsoft.SqlServer.Types.resources.dll;2015.0130.1601.05 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.Types.resources.dll;2015.0130.1601.05 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServer.WmiEnum.dll;12.0.2000.8 ((SQL14_RTM).140220-1832 );Microsoft Corporation
Microsoft.SqlServer.WmiEnum.dll;13.0.1601.5 ((SQL16_RTM).160429-2226);Microsoft Corporation
Microsoft.SqlServerCe.VersionManagement.dll;4.0.8876.1;Microsoft® Corporation
Microsoft.VisualStudio.Debugger.Runtime.dll;14.0.25531.1;Microsoft Corporation
Microsoft.VisualStudio.Diagnostics.Measurement.dll;14.0.25531.1;Microsoft Corporation
Microsoft.VisualStudio.PerformanceTools.Detours.dll;14.0.25531.1;Microsoft Corporation
Microsoft.VisualStudio.PerformanceTools.Detours.dll;16.0.28811.260;Microsoft Corporation
Microsoft.VisualStudio.ProjectAggregator.dll;8.0.50727.932 (QFE.050727-9300);Microsoft Corporation
Microsoft.VisualStudio.QualityTools.Common.dll;14.0.25531.1;Microsoft Corporation
Microsoft.VisualStudio.QualityTools.ExecutionCommon.dll;14.0.25531.1 built by: D14VSULDR;Microsoft Corporation
Microsoft.VisualStudio.QualityTools.Resource.dll;14.0.25531.1;Microsoft Corporation
Microsoft.VisualStudio.QualityTools.Tips.UnitTest.ObjectModel.dll;14.0.25531.1;Microsoft Corporation
Microsoft.VisualStudio.QualityTools.UnitTestFramework.dll;14.0.25531.1;Microsoft Corporation
Microsoft.VisualStudio.QualityTools.UnitTestFramework.dll;14.0.25531.1;Microsoft Corporation
Microsoft.VisualStudio.Shell.Interop.10.0.dll;10.0.30319.1 built by: RTMRel;Microsoft Corporation
Microsoft.VisualStudio.Shell.Interop.11.0.dll;11.0.61030.0 built by: Q11REL;Microsoft Corporation
Microsoft.VisualStudio.Shell.Interop.12.0.dll;12.0.30110.0 built by: REL;Microsoft Corporation
Microsoft.VisualStudio.TextManager.Interop.10.0.dll;10.0.30319.1 built by: RTMRel;Microsoft Corporation
Microsoft.VisualStudio.TextManager.Interop.11.0.dll;11.0.61030.0 built by: Q11REL;Microsoft Corporation
Microsoft.VisualStudio.TextManager.Interop.12.0.dll;12.0.30110.0 built by: REL;Microsoft Corporation
Microsoft.Web.dll;10.0.14358.1000;Microsoft Corporation
Microsoft.Web.Administration.dll;10.0.14358.1000;Microsoft Corporation
Microsoft.Web.Administration.resources.dll;10.0.14358.1000;Microsoft Corporation
Microsoft.Web.Administration.resources.dll;10.0.14358.1000;Microsoft Corporation
Microsoft.Web.Administration.resources.dll;10.0.14358.1000;Microsoft Corporation
Microsoft.Web.Administration.resources.dll;10.0.14358.1000;Microsoft Corporation
Microsoft.Web.Administration.resources.dll;10.0.14358.1000;Microsoft Corporation
Microsoft.Web.Administration.resources.dll;10.0.14358.1000;Microsoft Corporation
